model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"ELM-sliding_2-net_para_{'hidden_size': (20, False), 'activation': 0}",0.0076,,0.00138044,0.0102,0.9974,0.0066,0.0001,0.0,0.9972,0.0091,2.1717,2.1923,0.9974,7.9362,119.8442,0.0004,0.9972,10.9473,1.5048,1.5144
"ELM-sliding_3-net_para_{'hidden_size': (20, False), 'activation': 0}",0.0122,,0.00186992,0.0161,0.9974,0.0063,0.0001,0.0,0.9974,0.0087,2.0825,2.0822,0.9974,7.585,108.7395,0.0004,0.9974,10.4278,1.4421,1.4427
"ELM-sliding_5-net_para_{'hidden_size': (20, False), 'activation': 0}",0.0196,,0.00262904,0.0246,0.9975,0.0064,0.0001,0.0,0.9974,0.0087,2.1118,2.0996,0.9975,7.6656,108.139,0.0004,0.9974,10.399,1.4609,1.4559
"ELM-sliding_2-net_para_{'hidden_size': (40, False), 'activation': 0}",0.0078,,0.00144124,0.0105,0.9974,0.0063,0.0001,0.0,0.9974,0.0087,2.0909,2.0909,0.9974,7.6257,110.4865,0.0004,0.9974,10.5113,1.449,1.4498
"ELM-sliding_3-net_para_{'hidden_size': (40, False), 'activation': 0}",0.0143,,0.0018177,0.0179,0.9974,0.0063,0.0001,0.0,0.9974,0.0087,2.077,2.0809,0.9974,7.5825,109.2806,0.0004,0.9974,10.4537,1.4391,1.4415
"ELM-sliding_5-net_para_{'hidden_size': (40, False), 'activation': 0}",0.0383,,0.00339508,0.0459,0.9975,0.0062,0.0001,0.0,0.9975,0.0085,2.0379,2.0416,0.9975,7.4336,104.5286,0.0004,0.9975,10.2239,1.4113,1.4136
"ELM-sliding_2-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0082,,0.00160933,0.0113,0.9974,0.0063,0.0001,0.0,0.9974,0.0087,2.0909,2.0909,0.9974,7.6257,110.4865,0.0004,0.9974,10.5113,1.449,1.4498
"ELM-sliding_3-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0116,,0.00193381,0.0153,0.9974,0.0063,0.0001,0.0,0.9974,0.0087,2.0825,2.0822,0.9974,7.585,108.7395,0.0004,0.9974,10.4278,1.4421,1.4427
"ELM-sliding_5-net_para_{'hidden_size': (50, False), 'activation': 0}",0.026,,0.00367188,0.0324,0.9975,0.0065,0.0001,0.0,0.9973,0.0089,2.113,2.1284,0.9975,7.7939,114.5747,0.0004,0.9973,10.704,1.4676,1.4755
"ELM-sliding_2-net_para_{'hidden_size': (100, False), 'activation': 0}",0.0076,,0.00164819,0.0107,0.9974,0.0066,0.0001,0.0,0.9972,0.009,2.2063,2.1912,0.9974,7.9752,116.1497,0.0004,0.9972,10.7773,1.5253,1.5192
"ELM-sliding_3-net_para_{'hidden_size': (100, False), 'activation': 0}",0.0121,,0.00195026,0.0159,0.9974,0.0063,0.0001,0.0,0.9974,0.0087,2.0825,2.0822,0.9974,7.585,108.7395,0.0004,0.9974,10.4278,1.4421,1.4427
"ELM-sliding_5-net_para_{'hidden_size': (100, False), 'activation': 0}",0.02,,0.00295758,0.0259,0.9975,0.0062,0.0001,0.0,0.9975,0.0085,2.0396,2.0387,0.9975,7.428,103.8385,0.0004,0.9975,10.1901,1.4119,1.4121
"ELM-sliding_2-net_para_{'hidden_size': (150, False), 'activation': 0}",0.0081,,0.00154948,0.0111,0.9974,0.0068,0.0001,0.0,0.9971,0.0091,2.2973,2.275,0.9974,8.2212,120.5186,0.0004,0.9971,10.9781,1.5832,1.5743
"ELM-sliding_3-net_para_{'hidden_size': (150, False), 'activation': 0}",0.0129,,0.00201201,0.017,0.9974,0.0084,0.0001,0.0001,0.9961,0.0106,2.8642,2.8097,0.9974,10.0458,163.3897,0.0006,0.9961,12.7824,1.962,1.9387
"ELM-sliding_5-net_para_{'hidden_size': (150, False), 'activation': 0}",0.0375,,0.00453901,0.0489,0.9973,0.0085,0.0001,0.0001,0.9959,0.011,2.8347,2.7816,0.9973,10.2643,173.5573,0.0006,0.9959,13.1741,1.9604,1.9365
"ELM-sliding_2-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0113,,0.00166416,0.015,0.9974,0.0063,0.0001,0.0,0.9974,0.0087,2.0909,2.0909,0.9974,7.6257,110.4865,0.0004,0.9974,10.5113,1.449,1.4498
"ELM-sliding_3-net_para_{'hidden_size': (200, False), 'activation': 0}",0.022,,0.00266838,0.0274,0.9974,0.0063,0.0001,0.0,0.9974,0.0087,2.0825,2.0822,0.9974,7.585,108.7395,0.0004,0.9974,10.4278,1.4421,1.4427
"ELM-sliding_5-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0255,,0.00310564,0.0314,0.9975,0.0062,0.0001,0.0,0.9975,0.0085,2.0396,2.0387,0.9975,7.428,103.8385,0.0004,0.9975,10.1901,1.4119,1.4121
