model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"ELM-sliding_2-net_para_{'hidden_size': 12, 'activation': 0}",0.042,,0.00998163,0.0538,0.9974,0.0072,0.0001,0.0,0.997,0.0093,2.4732,2.4392,0.9974,8.5958,126.1421,0.0005,0.997,11.2313,1.6884,1.6752
"ELM-sliding_5-net_para_{'hidden_size': 12, 'activation': 0}",0.0532,,0.00489187,0.0875,0.9975,0.0062,0.0001,0.0,0.9975,0.0085,2.0396,2.0387,0.9975,7.428,103.8385,0.0004,0.9975,10.1901,1.4119,1.4121
"ELM-sliding_10-net_para_{'hidden_size': 12, 'activation': 0}",0.0468,,0.00433421,0.0599,0.9976,0.0061,0.0001,0.0,0.9976,0.0083,1.9994,1.9988,0.9976,7.2834,98.9939,0.0003,0.9976,9.9496,1.3833,1.3835
"PSO_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",149.5865,1.4959,0.006367,149.5944,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0073,2.0091,0.9975,7.7764,113.9673,0.0004,0.9975,10.6755,1.4154,1.4167
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",151.7052,1.5171,0.004004,151.7112,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0227,2.0246,0.9975,7.8194,115.3454,0.0004,0.9975,10.7399,1.4256,1.4271
"WOA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",166.0136,1.6601,0.003152,166.0187,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0053,2.0072,0.9975,7.7811,114.7603,0.0004,0.9975,10.7126,1.4145,1.416
"PSO_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",127.301,1.273,0.002961,127.3103,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9505,1.9505,0.9977,7.5528,106.4948,0.0003,0.9977,10.3196,1.3731,1.3736
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",167.5179,1.6752,0.003117,167.5269,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9458,1.9448,0.9977,7.5201,105.6789,0.0003,0.9977,10.28,1.3687,1.3688
"WOA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-whale_{'epoch': 100, 'pop_size': 50}",172.2587,1.7226,0.005831,172.2715,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9551,1.9553,0.9976,7.5626,107.3773,0.0003,0.9976,10.3623,1.3755,1.3759
"PSO_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",161.7083,1.6171,0.006567,161.7222,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8986,1.8983,0.9978,7.3709,101.6109,0.0003,0.9978,10.0802,1.3355,1.3358
