model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1269.9786,1.27,0.93131113,1270.9112,0.9932,0.0165,0.0004,0.0002,0.9932,0.021,7.0309,6.6536,0.9932,15.9192,411.6593,0.0034,0.9932,20.2894,4.524,4.4126
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2473.9918,2.474,1.23044634,2475.2365,0.9941,0.0153,0.0004,0.0002,0.994,0.0197,6.5563,6.2272,0.9941,14.7842,360.1272,0.0031,0.994,18.977,4.2307,4.1311
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4688.6814,4.6887,1.33638382,4690.046,0.9937,0.0156,0.0004,0.0002,0.9937,0.0202,6.3648,6.0782,0.9937,15.0162,381.566,0.0029,0.9937,19.5337,4.1402,4.058
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1609.1369,1.6091,5.82154989,1614.9604,0.9931,0.0162,0.0004,0.0002,0.9931,0.0212,6.418,6.1476,0.9931,15.6412,418.8374,0.003,0.9931,20.4655,4.2019,4.1291
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3126.1798,3.1262,6.35538125,3132.5379,0.9935,0.017,0.0004,0.0002,0.9932,0.021,7.872,7.3464,0.9935,16.3832,410.0663,0.0041,0.9932,20.2501,4.9879,4.8199
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",5890.0836,5.8901,6.66790366,5896.7678,0.9933,0.0162,0.0004,0.0002,0.9933,0.0208,6.7874,6.4468,0.9933,15.6101,401.8725,0.0032,0.9933,20.0468,4.3803,4.2817
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1914.1556,1.9142,14.05253243,1928.2222,0.9931,0.0172,0.0005,0.0002,0.9929,0.0214,7.6503,7.1757,0.9931,16.563,426.4615,0.0039,0.9929,20.6509,4.881,4.7333
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3570.5655,3.5706,13.92852592,3584.4972,0.9929,0.0164,0.0005,0.0002,0.9928,0.0216,6.2709,6.0309,0.9929,15.7977,436.6031,0.0029,0.9928,20.895,4.1345,4.074
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6706.1552,6.7062,15.16695809,6721.3392,0.993,0.0166,0.0005,0.0002,0.993,0.0212,6.9775,6.6137,0.993,16.0216,420.5192,0.0033,0.993,20.5066,4.4995,4.3933
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2139.0981,2.1391,24.20905852,2163.3089,0.9936,0.0157,0.0004,0.0002,0.9936,0.0203,6.5448,6.2329,0.9936,15.176,383.6867,0.0031,0.9936,19.5879,4.2412,4.1511
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3773.5846,3.7736,23.30338359,3796.9042,0.9936,0.0155,0.0004,0.0002,0.9935,0.0206,5.9166,5.7122,0.9936,14.9245,395.1122,0.0026,0.9935,19.8774,3.9131,3.8627
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",7015.3687,7.0154,24.04411197,7039.4231,0.9938,0.0163,0.0004,0.0002,0.9937,0.0203,7.5267,7.0529,0.9938,15.7217,382.7756,0.0038,0.9937,19.5647,4.7682,4.6203
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2403.2665,2.4033,37.55006194,2440.8184,0.9936,0.0162,0.0004,0.0002,0.9935,0.0205,7.0958,6.6956,0.9936,15.633,391.6012,0.0035,0.9935,19.7889,4.5445,4.4228
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4012.9238,4.0129,37.12503672,4050.0525,0.9939,0.0158,0.0004,0.0002,0.9938,0.02,6.9751,6.5846,0.9939,15.2311,371.6822,0.0034,0.9938,19.2791,4.4658,4.3451
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",7014.3964,7.0144,36.66095066,7051.0629,0.9942,0.0146,0.0004,0.0002,0.9939,0.0199,5.2374,5.1262,0.9942,14.1084,369.2993,0.0022,0.9939,19.2172,3.5378,3.5174
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2662.1035,2.6621,48.39798093,2710.5035,0.9935,0.0159,0.0004,0.0002,0.9935,0.0205,6.5862,6.2728,0.9935,15.3497,392.3099,0.0031,0.9935,19.8068,4.2732,4.1824
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4203.2701,4.2033,50.14847994,4253.43,0.9939,0.0159,0.0004,0.0002,0.9938,0.0201,7.0385,6.6397,0.9939,15.3669,377.0629,0.0034,0.9938,19.4181,4.5067,4.3828
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",7128.6571,7.1287,49.99643779,7178.6584,0.9949,0.0142,0.0003,0.0002,0.9948,0.0183,6.147,5.8626,0.9949,13.7597,313.1798,0.0028,0.9948,17.6969,3.9781,3.8897
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2848.3506,2.8484,59.7740531,2908.1362,0.9937,0.0169,0.0004,0.0002,0.9933,0.0208,7.8864,7.3594,0.9937,16.3448,404.7699,0.0041,0.9933,20.1189,4.998,4.8285
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4402.9622,4.403,61.54048467,4464.5147,0.9936,0.0158,0.0004,0.0002,0.9936,0.0204,6.5941,6.2755,0.9936,15.2791,388.4933,0.0031,0.9936,19.7102,4.2721,4.1791
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",7271.1973,7.2712,65.33980703,7336.543,0.994,0.0153,0.0004,0.0002,0.994,0.0198,6.305,6.0258,0.994,14.7367,365.2046,0.0029,0.994,19.1103,4.0975,4.0175
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3091.5202,3.0915,72.1016531,3163.6236,0.9935,0.0164,0.0004,0.0002,0.9934,0.0206,7.3226,6.8857,0.9935,15.8245,395.9649,0.0036,0.9934,19.8989,4.6679,4.5341
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4581.638,4.5816,78.15315294,4659.8039,0.9936,0.0159,0.0004,0.0002,0.9936,0.0204,6.7952,6.4443,0.9936,15.3868,387.9775,0.0032,0.9936,19.6971,4.3774,4.2733
