model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",151.628,1.5163,0.002728,151.6335,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0012,2.0026,0.9975,7.753,113.5131,0.0004,0.9975,10.6543,1.4108,1.4121
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",150.9382,1.5094,0.003317,150.9446,0.9977,0.0062,0.0001,0.0,0.9977,0.0085,1.9318,1.9312,0.9977,7.4898,104.7799,0.0003,0.9977,10.2362,1.3603,1.3604
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",124.6263,1.2463,0.003962,124.6426,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8967,1.8968,0.9978,7.3644,101.4267,0.0003,0.9978,10.0711,1.3343,1.3347
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",155.7549,1.5575,0.004732,155.7616,0.9975,0.0064,0.0001,0.0,0.9975,0.0089,1.997,1.9988,0.9975,7.7482,113.6678,0.0004,0.9975,10.6615,1.4085,1.4099
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",153.6617,1.5366,0.002909,153.6714,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9489,1.9483,0.9977,7.5476,106.4368,0.0003,0.9977,10.3168,1.3719,1.3721
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",125.5499,1.2555,0.003284,125.5598,0.9978,0.0062,0.0001,0.0,0.9977,0.0084,1.907,1.9078,0.9978,7.3968,102.2708,0.0003,0.9977,10.1129,1.3412,1.3417
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",127.7339,1.2773,0.002077,127.7373,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.001,2.0029,0.9975,7.7594,113.8004,0.0004,0.9975,10.6677,1.4113,1.4127
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",129.5176,1.2952,0.002959,129.5227,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9452,1.9453,0.9977,7.5182,105.5776,0.0003,0.9977,10.2751,1.3686,1.369
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",132.7645,1.3276,0.005143,132.7753,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8979,1.8999,0.9978,7.3771,101.6248,0.0003,0.9978,10.0809,1.3359,1.3368
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",124.0932,1.2409,0.002486,124.0988,0.9975,0.0064,0.0001,0.0,0.9975,0.0089,1.9925,1.994,0.9975,7.7325,113.0614,0.0004,0.9975,10.633,1.4053,1.4066
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",127.8333,1.2783,0.002306,127.8428,0.9977,0.0062,0.0001,0.0,0.9977,0.0086,1.9359,1.9357,0.9977,7.5059,105.6099,0.0003,0.9977,10.2767,1.3632,1.3634
