model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1768.4699,1.7685,1.44208026,1769.9139,0.9954,0.0088,0.0001,0.0001,0.9952,0.0118,2.9374,2.9059,0.9954,10.5441,200.3989,0.0006,0.9952,14.1562,1.9897,1.9859
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3448.1685,3.4482,1.83566737,3450.0157,0.9946,0.0096,0.0002,0.0001,0.9944,0.0128,3.336,3.2801,0.9946,11.5878,234.6999,0.0008,0.9944,15.3199,2.2282,2.2173
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6663.1058,6.6631,2.08685398,6665.223,0.9959,0.0083,0.0001,0.0001,0.9957,0.0112,2.7655,2.738,0.9959,9.9763,181.1536,0.0006,0.9957,13.4593,1.8761,1.873
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2236.8515,2.2369,6.90740538,2243.7614,0.9955,0.0088,0.0001,0.0001,0.9955,0.0114,3.1521,3.0963,0.9955,10.5582,188.9043,0.0007,0.9955,13.7442,2.0933,2.0799
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4316.3752,4.3164,7.31848264,4323.7095,0.9955,0.0089,0.0001,0.0001,0.9955,0.0115,3.2259,3.1617,0.9955,10.6509,190.8983,0.0007,0.9955,13.8166,2.1305,2.1143
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",8095.3829,8.0954,7.79967976,8103.2003,0.9959,0.0085,0.0001,0.0001,0.9955,0.0115,2.7274,2.711,0.9959,10.1676,190.6441,0.0006,0.9955,13.8074,1.8703,1.8719
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2604.7977,2.6048,15.06490254,2619.8712,0.9956,0.0089,0.0001,0.0001,0.9956,0.0113,3.3133,3.241,0.9956,10.6492,185.1271,0.0008,0.9956,13.6061,2.1757,2.1561
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4869.2377,4.8692,15.42644787,4884.6682,0.9961,0.0082,0.0001,0.0001,0.9956,0.0114,2.5249,2.5253,0.9961,9.8376,186.2294,0.0005,0.9956,13.6466,1.7627,1.7697
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",9087.814,9.0878,16.18759561,9104.0097,0.9962,0.0083,0.0001,0.0001,0.9955,0.0115,2.5383,2.5416,0.9962,9.9947,190.4794,0.0005,0.9955,13.8014,1.7784,1.7868
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2905.2111,2.9052,26.56529927,2931.7785,0.996,0.0083,0.0001,0.0001,0.996,0.0109,2.9931,2.9437,0.996,10.0001,170.2479,0.0006,0.996,13.0479,1.9894,1.9775
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",5082.5666,5.0826,26.687819,5109.2665,0.9957,0.0088,0.0001,0.0001,0.9957,0.0113,3.3305,3.2528,0.9957,10.6114,182.7043,0.0008,0.9957,13.5168,2.1816,2.1596
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",9427.5724,9.4276,27.94754958,9455.5385,0.9956,0.0086,0.0001,0.0001,0.9953,0.0117,2.8324,2.8067,0.9956,10.3764,197.4312,0.0006,0.9953,14.051,1.9286,1.9269
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3245.4183,3.2454,36.31192589,3281.7424,0.9954,0.0095,0.0002,0.0001,0.9941,0.0131,2.7887,2.8016,0.9954,11.4131,249.4751,0.0006,0.9941,15.7948,1.9768,1.9914
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",5446.4538,5.4465,40.63886857,5487.0962,0.9952,0.0091,0.0001,0.0001,0.9952,0.0118,3.2684,3.2048,0.9952,10.8786,201.1782,0.0008,0.9952,14.1837,2.1605,2.1455
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",9454.1723,9.4542,37.22946167,9491.421,0.9956,0.0091,0.0002,0.0001,0.9947,0.0124,2.7673,2.7663,0.9956,10.8876,222.639,0.0006,0.9947,14.9211,1.9321,1.9408
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3555.8523,3.5559,49.90767336,3605.771,0.995,0.0093,0.0001,0.0001,0.995,0.0121,3.3045,3.2444,0.995,11.1404,211.0126,0.0008,0.995,14.5263,2.1939,2.1803
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",5592.6648,5.5927,51.22407341,5643.8925,0.9951,0.0092,0.0001,0.0001,0.9951,0.012,3.2846,3.2219,0.9951,11.0043,206.2552,0.0008,0.9951,14.3616,2.1749,2.1603
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",9484.653,9.4847,53.43722725,9538.0968,0.9957,0.0089,0.0002,0.0001,0.9948,0.0123,2.7157,2.7168,0.9957,10.7241,217.3002,0.0006,0.9948,14.7411,1.8994,1.9085
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3815.4923,3.8155,62.16072655,3877.6734,0.9952,0.009,0.0001,0.0001,0.9949,0.0122,2.9779,2.9501,0.9952,10.8527,213.9883,0.0007,0.9949,14.6283,2.025,2.0233
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",5853.2343,5.8532,65.33983397,5918.5776,0.9955,0.0087,0.0001,0.0001,0.9954,0.0116,2.9521,2.9141,0.9955,10.4119,192.9514,0.0006,0.9954,13.8907,1.988,1.9814
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",9351.4466,9.3514,65.25467706,9416.7081,0.9961,0.0084,0.0001,0.0001,0.9955,0.0115,2.5834,2.5839,0.9961,10.072,191.2571,0.0005,0.9955,13.8296,1.8032,1.8108
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4129.0034,4.129,75.17843008,4204.1839,0.9954,0.0093,0.0002,0.0001,0.9943,0.0129,2.7272,2.7392,0.9954,11.1501,241.8423,0.0006,0.9943,15.5513,1.9318,1.9456
