model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",336.5307,0.0673,0.228739,336.7614,0.9889,0.0077,0.0004,0.0001,0.9888,0.0192,4.3222,4.3019,0.9889,8.2952,422.881,0.0029,0.9888,20.5641,4.0479,4.0289
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",345.6635,0.0691,0.299955,345.9657,0.9866,0.0085,0.0005,0.0002,0.986,0.0214,4.5321,4.5628,0.9866,9.1716,528.9445,0.0033,0.986,22.9988,4.244,4.2734
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",349.8493,0.07,0.320031,350.1748,0.986,0.0091,0.0005,0.0002,0.9851,0.0222,4.7174,4.7515,0.986,9.7383,565.4268,0.0035,0.9851,23.7787,4.4194,4.4548
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",431.5661,0.0863,0.948116,432.5153,0.9816,0.0094,0.0006,0.0002,0.9811,0.0249,4.8124,4.7821,0.9816,10.0548,713.8433,0.0037,0.9811,26.7178,4.5036,4.4841
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",443.3027,0.0887,0.894821,444.2,0.9893,0.0079,0.0004,0.0001,0.989,0.019,4.5149,4.5059,0.9893,8.5104,415.3517,0.0032,0.989,20.3802,4.2196,4.214
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",460.9558,0.0922,1.078096,462.0372,0.9868,0.0087,0.0005,0.0002,0.9862,0.0213,4.6012,4.6091,0.9868,9.3888,523.5764,0.0034,0.9862,22.8818,4.3092,4.322
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",558.2526,0.1117,1.865697,560.1207,0.9866,0.0083,0.0005,0.0002,0.9861,0.0213,4.3163,4.347,0.9866,8.946,524.7366,0.0031,0.9861,22.9071,4.0459,4.0738
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",558.8825,0.1118,1.882518,560.767,0.9871,0.0087,0.0004,0.0002,0.9865,0.0211,4.5131,4.5494,0.9871,9.3107,512.4669,0.0034,0.9865,22.6377,4.2319,4.2679
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",572.2254,0.1144,2.052971,574.2827,0.9901,0.008,0.0003,0.0001,0.9901,0.018,5.2862,5.1414,0.9901,8.634,374.3393,0.0038,0.9901,19.3478,4.92,4.799
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",692.6567,0.1385,3.14691,695.8049,0.984,0.009,0.0006,0.0002,0.9832,0.0235,4.6538,4.7052,0.984,9.7003,634.3473,0.0035,0.9832,25.1863,4.3572,4.4043
