model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"ELM-sliding_2-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0065,,0.00099063,0.0085,0.9957,0.012,0.0003,0.0001,0.9957,0.0168,4.2527,4.2359,0.9957,11.5721,261.6888,0.0018,0.9957,16.1768,2.9441,2.944
"ELM-sliding_3-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0134,,0.0013907,0.0166,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0146,,0.00214219,0.0186,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0055,,0.00097752,0.0073,0.9957,0.0121,0.0003,0.0001,0.9957,0.0167,4.3613,4.3084,0.9957,11.6839,260.3108,0.0018,0.9957,16.1341,3.0084,2.9901
"ELM-sliding_3-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0076,,0.00122905,0.0099,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0128,,0.00227857,0.0165,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0053,,0.00093699,0.0071,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0074,,0.00119328,0.0097,0.9957,0.0119,0.0003,0.0001,0.9957,0.0167,4.2031,4.2148,0.9957,11.502,259.6463,0.0018,0.9957,16.1135,2.9193,2.9285
"ELM-sliding_5-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0146,,0.0022347,0.0185,0.9958,0.0129,0.0003,0.0002,0.9952,0.0176,4.6176,4.5169,0.9958,12.4209,288.1318,0.0019,0.9952,16.9744,3.1815,3.1399
"ELM-sliding_2-net_para_{'hidden_size': (500, False), 'activation': 0}",0.0053,,0.00095224,0.0072,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (500, False), 'activation': 0}",0.0073,,0.00119352,0.0095,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (500, False), 'activation': 0}",0.0124,,0.00205064,0.0159,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1713,4.157,0.9959,11.2538,248.0478,0.0018,0.9959,15.7495,2.8828,2.881
"ELM-sliding_2-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0054,,0.00095153,0.0072,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0073,,0.00145197,0.0099,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0128,,0.00213289,0.0164,0.9959,0.012,0.0003,0.0001,0.9957,0.0166,4.339,4.2783,0.9959,11.5956,257.2546,0.0018,0.9957,16.0392,2.9883,2.9655
"ELM-sliding_2-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0052,,0.00114894,0.0072,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0075,,0.00131059,0.0099,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0128,,0.00207782,0.0163,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
