model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",32.9403,0.3294,0.001623,32.943,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2497,4.2424,0.9956,10.9886,235.7891,0.0017,0.9956,15.3554,2.9204,2.9222
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",30.0855,0.3009,0.001495,30.0883,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2751,4.2661,0.9956,11.0227,235.9475,0.0017,0.9956,15.3606,2.934,2.9358
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",24.928,0.2493,0.001581,24.9311,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2603,4.2521,0.9956,10.9967,235.8754,0.0017,0.9956,15.3582,2.9264,2.9279
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",29.2759,0.2928,0.002848,29.2801,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2546,4.2469,0.9956,10.9931,236.2555,0.0017,0.9956,15.3706,2.9239,2.9253
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",24.7372,0.2474,0.001641,24.7404,0.9955,0.0114,0.0003,0.0001,0.9955,0.0159,4.2636,4.2545,0.9955,11.0267,237.0511,0.0017,0.9955,15.3965,2.9295,2.9309
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",27.1047,0.271,0.001503,27.1082,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2566,4.2498,0.9956,10.9995,236.3386,0.0017,0.9956,15.3733,2.9253,2.9272
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",29.8733,0.2987,0.001615,29.8767,0.9955,0.0114,0.0003,0.0001,0.9955,0.0159,4.2536,4.2467,0.9955,11.0096,236.6736,0.0017,0.9955,15.3842,2.9241,2.9263
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",24.0099,0.2401,0.001783,24.0131,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2549,4.2475,0.9956,10.9947,235.6655,0.0017,0.9956,15.3514,2.9235,2.9254
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",24.531,0.2453,0.001506,24.5335,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2425,4.2349,0.9956,10.9887,235.9246,0.0017,0.9956,15.3598,2.917,2.9185
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",24.132,0.2413,0.001575,24.1349,0.9955,0.0114,0.0003,0.0001,0.9955,0.0159,4.261,4.2536,0.9955,11.0284,236.684,0.0017,0.9955,15.3845,2.9281,2.9304
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",24.4233,0.2442,0.001462,24.4265,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2685,4.2608,0.9956,11.0085,235.7224,0.0017,0.9956,15.3533,2.9304,2.9326
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",25.1161,0.2512,0.001922,25.1193,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2578,4.2508,0.9956,10.998,236.392,0.0017,0.9956,15.375,2.9261,2.9279
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",24.0721,0.2407,0.001684,24.0749,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2475,4.2417,0.9956,10.981,235.7081,0.0017,0.9956,15.3528,2.919,2.9213
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",24.5206,0.2452,0.001361,24.5232,0.9955,0.0114,0.0003,0.0001,0.9955,0.0159,4.2454,4.2378,0.9955,11.0016,236.8276,0.0017,0.9955,15.3892,2.9207,2.9217
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",24.94,0.2494,0.001367,24.9433,0.9955,0.0114,0.0003,0.0001,0.9955,0.016,4.2386,4.2303,0.9955,11.0167,239.099,0.0017,0.9955,15.4628,2.9188,2.9188
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",77.2659,0.7727,0.002762,77.2711,0.9956,0.0113,0.0003,0.0001,0.9956,0.0158,4.2101,4.2045,0.9956,10.9059,233.3675,0.0017,0.9956,15.2764,2.8962,2.8981
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",68.3176,0.6832,0.003145,68.3229,0.9956,0.0113,0.0003,0.0001,0.9956,0.0158,4.2146,4.2113,0.9956,10.9236,233.6144,0.0017,0.9956,15.2845,2.8989,2.9021
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",64.1659,0.6417,0.003014,64.1714,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1786,4.1724,0.9957,10.8358,229.7932,0.0017,0.9957,15.1589,2.8751,2.8768
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",68.9167,0.6892,0.002551,68.9225,0.9956,0.0113,0.0002,0.0001,0.9956,0.0158,4.2088,4.2028,0.9956,10.9097,232.2761,0.0017,0.9956,15.2406,2.8962,2.8979
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",59.3444,0.5934,0.002477,59.3488,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2355,4.2321,0.9956,10.965,235.4728,0.0017,0.9956,15.3451,2.9122,2.9153
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",64.6077,0.6461,0.002759,64.612,0.9956,0.0112,0.0002,0.0001,0.9956,0.0158,4.18,4.174,0.9956,10.8564,232.4244,0.0017,0.9956,15.2455,2.8773,2.8785
