model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",62.0381,0.6204,0.001405,62.0412,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.232,4.2255,0.9956,10.9646,234.3563,0.0017,0.9956,15.3087,2.9105,2.9124
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",138.7233,1.3872,0.003194,138.7288,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1629,4.1616,0.9957,10.8254,229.0954,0.0016,0.9957,15.1359,2.8652,2.8691
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",674.3194,6.7432,0.007757,674.3299,0.9958,0.0111,0.0002,0.0001,0.9958,0.0155,4.1937,4.1908,0.9958,10.7505,224.2942,0.0017,0.9958,14.9765,2.8726,2.8753
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",47.6299,0.4763,0.001832,47.6333,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2717,4.2628,0.9956,11.0311,236.3129,0.0017,0.9956,15.3725,2.9329,2.9349
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",132.5301,1.3253,0.002602,132.5341,0.9957,0.0112,0.0002,0.0001,0.9956,0.0158,4.1908,4.1855,0.9957,10.857,231.3356,0.0017,0.9956,15.2097,2.8815,2.8837
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",559.6884,5.5969,0.008264,559.6991,0.9958,0.0111,0.0002,0.0001,0.9958,0.0155,4.1804,4.1776,0.9958,10.756,224.8843,0.0016,0.9958,14.9961,2.8649,2.8683
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",50.0836,0.5008,0.001341,50.086,0.9955,0.0114,0.0003,0.0001,0.9955,0.0159,4.2583,4.2525,0.9955,11.0072,236.7121,0.0017,0.9955,15.3855,2.9264,2.9289
"OppoTwo_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",125.9284,1.2593,0.003038,125.9336,0.9956,0.0113,0.0003,0.0001,0.9956,0.0158,4.2146,4.208,0.9956,10.8976,234.1367,0.0017,0.9956,15.3015,2.8979,2.8994
"OppoTwo_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",525.8552,5.2586,0.008375,525.8674,0.9959,0.0111,0.0002,0.0001,0.9958,0.0154,4.1526,4.1475,0.9959,10.7012,220.8739,0.0016,0.9958,14.8618,2.8476,2.8493
"OppoTwo_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-OTWO_{'epoch': 100, 'pop_size': 20}",48.0532,0.4805,0.002072,48.0566,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2564,4.2491,0.9956,11.0034,236.3829,0.0017,0.9956,15.3747,2.9249,2.9269
