model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",33.0081,0.3301,0.001944,33.0116,0.9974,0.0065,0.0001,0.0,0.9974,0.009,2.0207,2.023,0.9974,7.8341,116.5078,0.0004,0.9974,10.7939,1.4255,1.4271
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",84.744,0.8474,0.003566,84.7507,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9615,1.9613,0.9976,7.5808,108.0212,0.0003,0.9976,10.3933,1.3806,1.3811
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",476.0081,4.7601,0.009389,476.0207,0.9977,0.0062,0.0001,0.0,0.9977,0.0085,1.9065,1.9109,0.9977,7.415,103.2915,0.0003,0.9977,10.1632,1.3433,1.3453
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",34.2783,0.3428,0.001897,34.2819,0.9975,0.0065,0.0001,0.0,0.9975,0.009,2.0194,2.0207,0.9975,7.8184,115.8112,0.0004,0.9975,10.7616,1.4236,1.4249
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",84.8405,0.8484,0.003126,84.8464,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.948,1.9483,0.9976,7.5581,107.6755,0.0003,0.9976,10.3767,1.3724,1.3729
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",460.8824,4.6088,0.009167,460.8952,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8975,1.8965,0.9978,7.3836,102.1664,0.0003,0.9978,10.1077,1.3368,1.3365
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",35.3618,0.3536,0.001861,35.3653,0.9974,0.0065,0.0001,0.0,0.9974,0.009,2.0113,2.0124,0.9974,7.8071,115.9763,0.0004,0.9974,10.7692,1.4188,1.4201
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",81.5378,0.8154,0.00357,81.5445,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9547,1.9547,0.9976,7.5675,107.5923,0.0003,0.9976,10.3727,1.3764,1.3768
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",434.7205,4.3472,0.010152,434.7354,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8873,1.8859,0.9978,7.3467,101.1865,0.0003,0.9978,10.0591,1.3291,1.3288
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",34.0267,0.3403,0.001925,34.0307,0.9975,0.0065,0.0001,0.0,0.9975,0.009,2.0163,2.0186,0.9975,7.8155,115.6345,0.0004,0.9975,10.7533,1.4221,1.4237
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",86.9029,0.869,0.00333,86.9089,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.956,1.9569,0.9976,7.5649,107.474,0.0003,0.9976,10.367,1.3775,1.3783
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",465.6514,4.6565,0.0097,465.664,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8944,1.8931,0.9978,7.372,102.0933,0.0003,0.9978,10.1041,1.3344,1.3341
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",33.616,0.3362,0.001963,33.6197,0.9974,0.0065,0.0001,0.0,0.9974,0.009,2.0171,2.0182,0.9974,7.8192,116.164,0.0004,0.9974,10.7779,1.4224,1.4236
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",81.4004,0.814,0.003603,81.4061,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9623,1.9623,0.9976,7.5887,108.1637,0.0003,0.9976,10.4002,1.3816,1.3821
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",493.2691,4.9327,0.010804,493.2836,0.9977,0.0062,0.0001,0.0,0.9977,0.0084,1.9018,1.9007,0.9977,7.3967,102.564,0.0003,0.9977,10.1274,1.3394,1.3392
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",34.0625,0.3406,0.001799,34.0662,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0015,2.003,0.9975,7.7599,114.1046,0.0004,0.9975,10.682,1.4115,1.4128
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",83.411,0.8341,0.00387,83.417,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9717,1.972,0.9976,7.6277,109.6583,0.0004,0.9976,10.4718,1.3883,1.3889
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",485.7782,4.8578,0.009732,485.7921,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8894,1.8882,0.9978,7.3518,101.7509,0.0003,0.9978,10.0872,1.3307,1.3305
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",33.9512,0.3395,0.002309,33.9549,0.9974,0.0065,0.0001,0.0,0.9974,0.009,2.0123,2.015,0.9974,7.8108,116.2316,0.0004,0.9974,10.7811,1.42,1.4218
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",79.4741,0.7947,0.003212,79.4804,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9538,1.9542,0.9976,7.5624,107.6876,0.0003,0.9976,10.3773,1.3759,1.3765
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",432.2925,4.3229,0.00907,432.3044,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8935,1.8921,0.9978,7.3551,101.4727,0.0003,0.9978,10.0734,1.3329,1.3326
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",31.4753,0.3148,0.00161,31.4785,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0127,2.0135,0.9975,7.7991,115.1662,0.0004,0.9975,10.7316,1.419,1.4201
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",75.8637,0.7586,0.003867,75.8694,0.9976,0.0064,0.0001,0.0,0.9976,0.0087,1.9686,1.9695,0.9976,7.6424,110.1608,0.0004,0.9976,10.4958,1.3876,1.3885
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",400.9547,4.0095,0.007691,400.9655,0.9978,0.0064,0.0001,0.0,0.9976,0.0086,1.9897,2.0047,0.9978,7.6842,107.8377,0.0003,0.9976,10.3845,1.3984,1.4051
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",34.6207,0.3462,0.001784,34.6245,0.9974,0.0065,0.0001,0.0,0.9974,0.009,2.0162,2.0184,0.9974,7.819,116.3292,0.0004,0.9974,10.7856,1.4224,1.424
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",79.6612,0.7966,0.003266,79.6665,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9555,1.9553,0.9976,7.5985,109.022,0.0003,0.9976,10.4414,1.3782,1.3786
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",407.5458,4.0755,0.007633,407.5562,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8876,1.8868,0.9978,7.3484,101.0102,0.0003,0.9978,10.0504,1.3295,1.3294
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",31.8609,0.3186,0.002106,31.8642,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0101,2.0121,0.9975,7.7949,115.3157,0.0004,0.9975,10.7385,1.4179,1.4194
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",77.6021,0.776,0.003271,77.6079,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9537,1.9539,0.9976,7.574,108.0947,0.0003,0.9976,10.3969,1.3765,1.3771
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",398.1944,3.9819,0.007379,398.2045,0.9977,0.0062,0.0001,0.0,0.9977,0.0085,1.9062,1.9048,0.9977,7.4091,103.1551,0.0003,0.9977,10.1565,1.3423,1.3419
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",33.3245,0.3332,0.002242,33.3282,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.013,2.0145,0.9975,7.799,115.4578,0.0004,0.9975,10.7451,1.4194,1.4208
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",79.9415,0.7994,0.003072,79.9473,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9437,1.9441,0.9976,7.5434,107.4775,0.0003,0.9976,10.3671,1.3692,1.3698
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",421.9955,4.22,0.007858,422.0058,0.9977,0.0062,0.0001,0.0,0.9977,0.0085,1.9051,1.9039,0.9977,7.4122,103.1926,0.0003,0.9977,10.1584,1.3419,1.3417
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",32.3841,0.3238,0.001905,32.3875,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,1.9985,2.0004,0.9975,7.7644,113.8266,0.0004,0.9975,10.669,1.4102,1.4116
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",77.3289,0.7733,0.002913,77.3348,0.9975,0.0064,0.0001,0.0,0.9975,0.0088,1.9797,1.9803,0.9975,7.6881,111.3844,0.0004,0.9975,10.5539,1.3958,1.3966
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",406.985,4.0698,0.010591,406.9979,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.9038,1.9027,0.9978,7.3837,101.999,0.0003,0.9978,10.0995,1.3398,1.3397
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",32.857,0.3286,0.002331,32.8608,0.9974,0.0065,0.0001,0.0,0.9974,0.009,2.0158,2.0172,0.9974,7.8239,116.4787,0.0004,0.9974,10.7925,1.4221,1.4235
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",81.2253,0.8123,0.003072,81.2318,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9549,1.9549,0.9976,7.5686,108.1567,0.0003,0.9976,10.3998,1.3767,1.3771
"GA_ELM-sliding_5-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",434.7232,4.3472,0.01589,434.7415,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8936,1.8924,0.9978,7.3211,100.6947,0.0003,0.9978,10.0347,1.3314,1.3311
"GA_ELM-sliding_2-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",34.2494,0.3425,0.001794,34.2528,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.007,2.0084,0.9975,7.7822,115.0162,0.0004,0.9975,10.7246,1.4154,1.4168
"GA_ELM-sliding_3-nets_[100, 0, (5, False), (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 20, 'pc': 0.95, 'pm': 0.025}",83.2342,0.8323,0.003207,83.2401,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9645,1.9648,0.9976,7.5966,108.9724,0.0004,0.9976,10.439,1.3833,1.384
