model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",85.7371,0.8574,0.001585,85.74,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0017,2.0038,0.9975,7.7681,114.3834,0.0004,0.9975,10.695,1.4121,1.4136
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",204.4917,2.0449,0.003462,204.4968,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9529,1.9528,0.9976,7.5599,107.7649,0.0003,0.9976,10.381,1.3751,1.3755
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",1194.4348,11.9443,0.009013,1194.4471,0.9977,0.0061,0.0001,0.0,0.9977,0.0084,1.9026,1.9014,0.9977,7.3861,102.3319,0.0003,0.9977,10.1159,1.3395,1.3393
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",83.5642,0.8356,0.001814,83.5672,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0045,2.0064,0.9975,7.7833,114.6693,0.0004,0.9975,10.7084,1.4142,1.4156
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",206.8166,2.0682,0.003026,206.8216,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9593,1.9593,0.9976,7.5807,107.9082,0.0003,0.9976,10.3879,1.3793,1.3798
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",1126.5086,11.2651,0.009521,1126.5209,0.9978,0.0062,0.0001,0.0,0.9978,0.0084,1.9027,1.9013,0.9978,7.3891,102.0466,0.0003,0.9978,10.1018,1.3393,1.339
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",86.6962,0.867,0.001717,86.6993,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0041,2.0057,0.9975,7.7705,114.4587,0.0004,0.9975,10.6985,1.4133,1.4147
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",206.8218,2.0682,0.003033,206.8265,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9643,1.9644,0.9976,7.6037,108.8059,0.0003,0.9976,10.431,1.3831,1.3836
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",1122.4102,11.2241,0.010226,1122.423,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8884,1.8871,0.9978,7.3555,101.3912,0.0003,0.9978,10.0693,1.3301,1.3298
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",84.7216,0.8472,0.001807,84.7247,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0159,2.018,0.9975,7.8079,115.57,0.0004,0.9975,10.7503,1.4215,1.4231
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",208.5928,2.0859,0.003336,208.5984,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9547,1.9548,0.9976,7.565,107.8269,0.0003,0.9976,10.384,1.3763,1.3767
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",1125.6129,11.2561,0.008876,1125.6248,0.9978,0.0062,0.0001,0.0,0.9978,0.0084,1.8999,1.8988,0.9978,7.3888,102.0417,0.0003,0.9978,10.1016,1.3383,1.3381
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",88.6242,0.8862,0.001808,88.6273,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0072,2.0096,0.9975,7.7799,114.5629,0.0004,0.9975,10.7034,1.4156,1.4172
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",207.2234,2.0722,0.003128,207.2284,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9506,1.9506,0.9976,7.561,107.7602,0.0003,0.9976,10.3808,1.3739,1.3743
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",907.8467,9.0785,0.006823,907.857,0.9978,0.0061,0.0001,0.0,0.9977,0.0084,1.8949,1.8941,0.9978,7.3742,102.233,0.0003,0.9977,10.111,1.3348,1.3346
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",83.3617,0.8336,0.001578,83.3646,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.013,2.0149,0.9975,7.7962,115.1024,0.0004,0.9975,10.7286,1.4194,1.4208
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",210.3157,2.1032,0.003331,210.3208,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.9534,1.9536,0.9976,7.5662,107.9869,0.0003,0.9976,10.3917,1.3756,1.3761
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",971.4223,9.7142,0.007295,971.4328,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8946,1.8934,0.9978,7.3471,101.084,0.0003,0.9978,10.0541,1.3331,1.3328
"TWO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",88.4718,0.8847,0.001726,88.4751,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0072,2.0095,0.9975,7.7766,114.392,0.0004,0.9975,10.6954,1.4154,1.417
"TWO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",201.031,2.0103,0.003171,201.0365,0.9976,0.0063,0.0001,0.0,0.9976,0.0087,1.956,1.9563,0.9976,7.5701,108.0093,0.0003,0.9976,10.3928,1.3773,1.3778
"TWO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-TWO_{'epoch': 100, 'pop_size': 50}",1096.3681,10.9637,0.006865,1096.378,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8912,1.8899,0.9978,7.3553,101.6957,0.0003,0.9978,10.0844,1.3317,1.3314
