model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",70.314,0.7031,0.001429,70.3164,0.9955,0.0114,0.0003,0.0001,0.9955,0.016,4.2342,4.2263,0.9955,10.9835,237.6024,0.0017,0.9955,15.4144,2.9122,2.9137
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",169.5951,1.696,0.003305,169.6009,0.9957,0.0112,0.0002,0.0001,0.9957,0.0156,4.1865,4.1845,0.9957,10.8215,227.4364,0.0017,0.9957,15.081,2.8772,2.8806
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",703.4265,7.0343,0.008336,703.4377,0.9959,0.011,0.0002,0.0001,0.9959,0.0154,4.164,4.1606,0.9959,10.6673,220.0963,0.0016,0.9959,14.8356,2.8487,2.8516
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",60.7866,0.6079,0.001467,60.7894,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.23,4.2244,0.9956,10.9672,235.9628,0.0017,0.9956,15.3611,2.9083,2.9104
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",137.0595,1.3706,0.002209,137.063,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1924,4.1874,0.9957,10.8415,231.0329,0.0017,0.9957,15.1998,2.8825,2.8848
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",641.6274,6.4163,0.006994,641.636,0.9959,0.011,0.0002,0.0001,0.9959,0.0154,4.1373,4.1345,0.9959,10.6574,220.1695,0.0016,0.9959,14.8381,2.8348,2.8377
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",60.5793,0.6058,0.001209,60.5821,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2537,4.2452,0.9956,10.996,236.2851,0.0017,0.9956,15.3716,2.9236,2.925
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",139.2916,1.3929,0.002821,139.2959,0.9956,0.0113,0.0002,0.0001,0.9956,0.0158,4.1996,4.1953,0.9956,10.8721,231.7488,0.0017,0.9956,15.2233,2.8887,2.8908
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",633.7987,6.338,0.00743,633.8089,0.9958,0.0111,0.0002,0.0001,0.9958,0.0154,4.1582,4.1521,0.9958,10.7013,222.1389,0.0016,0.9958,14.9043,2.8504,2.8518
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",63.326,0.6333,0.001423,63.3291,0.9955,0.0114,0.0003,0.0001,0.9955,0.016,4.2625,4.253,0.9955,11.0391,238.6033,0.0017,0.9955,15.4468,2.93,2.9311
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",138.4827,1.3848,0.002332,138.4865,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.17,4.1673,0.9957,10.827,229.5392,0.0017,0.9957,15.1506,2.8684,2.8716
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",619.671,6.1967,0.006883,619.6805,0.9958,0.0111,0.0002,0.0001,0.9958,0.0154,4.184,4.1806,0.9958,10.6985,220.8986,0.0016,0.9958,14.8627,2.8622,2.8649
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",58.4912,0.5849,0.001238,58.4938,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2667,4.2582,0.9956,11.0175,236.169,0.0017,0.9956,15.3678,2.9301,2.932
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",139.4525,1.3945,0.002408,139.4564,0.9958,0.0111,0.0002,0.0001,0.9958,0.0156,4.1476,4.144,0.9958,10.7493,225.7013,0.0016,0.9958,15.0234,2.8518,2.8548
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",608.2641,6.0826,0.005717,608.2719,0.9959,0.011,0.0002,0.0001,0.9959,0.0153,4.1188,4.1151,0.9959,10.6046,217.4988,0.0016,0.9959,14.7478,2.8236,2.8259
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",60.9497,0.6095,0.001389,60.9526,0.9955,0.0114,0.0003,0.0001,0.9955,0.0159,4.249,4.2397,0.9955,10.9991,236.7737,0.0017,0.9955,15.3875,2.9205,2.9217
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",140.1748,1.4017,0.002186,140.1783,0.9956,0.0113,0.0002,0.0001,0.9956,0.0158,4.1941,4.1909,0.9956,10.8716,232.0274,0.0017,0.9956,15.2324,2.8849,2.8878
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",621.7517,6.2175,0.007704,621.7613,0.9959,0.011,0.0002,0.0001,0.9959,0.0153,4.1578,4.157,0.9959,10.6564,219.2627,0.0016,0.9959,14.8075,2.8457,2.8492
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",61.5369,0.6154,0.001342,61.5403,0.9955,0.0114,0.0003,0.0001,0.9955,0.016,4.2416,4.2339,0.9955,11.0274,238.5128,0.0017,0.9955,15.4439,2.919,2.9204
